City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Thừa Thiên Huế,0.2257121986851716,1.0,0.6666666666666666,0.625,0.625,Have certificate,0.6666666666666666
Hải Phòng,0.2695398100803506,0.3,0.8333333333333334,0.625,0.625,Have certificate,0.2142857142857143
Tuyên Quang,0.379108838568298,0.5,0.8333333333333334,1.0,1.0,Have certificate,0.6285714285714284
Bình Dương,0.8539079620160701,0.5,0.1666666666666666,0.625,0.125,Have certificate,0.6571428571428571
Tuyên Quang,0.3864134404674945,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.6285714285714284
Hậu Giang,0.4156318480642805,0.875,0.3333333333333333,0.375,0.125,Have certificate,0.1857142857142857
Bình Thuận,0.4156318480642805,0.5,0.5,0.625,0.625,Have certificate,0.5238095238095238
Hà Giang,0.2695398100803506,0.5,0.5,0.625,0.625,Have certificate,0.1428571428571428
Hưng Yên,0.7078159240321402,0.5,0.3333333333333333,0.625,0.375,Have certificate,0.4285714285714285
Bến Tre,0.1964937910883857,0.2249999999999999,0.6666666666666666,0.375,0.625,Have certificate,0.2952380952380952
Hà Giang,0.0577063550036522,0.125,0.3333333333333333,0.125,0.125,Have certificate,0.0809523809523809
Tuyên Quang,0.7808619430241052,0.4750000000000001,0.1666666666666666,0.125,0.125,Have certificate,0.3809523809523809
Hải Phòng,0.9634769905040176,0.5,0.3333333333333333,0.375,0.375,Have certificate,0.6238095238095237
Thừa Thiên Huế,0.3718042366691015,0.5,0.5,0.625,0.625,Have certificate,0.4476190476190476
Hải Phòng,0.2695398100803506,0.5,0.5,0.625,0.625,Have certificate,0.0904761904761904
Phú Thọ,0.4032140248356464,0.5,0.3333333333333333,0.625,0.875,Have certificate,0.4285714285714285
Bà Rịa Vũng Tàu,0.364499634769905,0.275,0.5,0.375,0.625,Have certificate,0.5238095238095238
Phú Thọ,0.1745799853907962,0.5249999999999999,0.8333333333333334,0.375,0.375,Have certificate,0.619047619047619
Bình Định,0.1964937910883857,0.5,0.1666666666666666,0.125,0.125,Have certificate,0.2619047619047618
Hải Phòng,0.7151205259313367,1.0,0.0,0.375,0.375,Have certificate,0.3619047619047618
Thừa Thiên Huế,0.1234477720964207,0.5,0.1666666666666666,0.125,0.125,Have certificate,0.2333333333333333
Tphcm,0.5032870708546384,0.5,0.6666666666666666,0.625,0.625,Have certificate,0.8095238095238094
Hưng Yên,0.7078159240321402,0.625,0.3333333333333333,0.375,0.375,Have certificate,0.219047619047619
Bình Dương,1.0,1.0,0.1666666666666666,0.625,0.625,Sale contract,0.338095238095238
Hưng Yên,0.4302410518626735,0.5,0.1666666666666666,0.375,0.375,Have certificate,0.1714285714285713
Bình Dương,0.4521548575602629,0.875,0.0,0.125,0.0,Have certificate,0.0619047619047618
Bà Rịa Vũng Tàu,0.3279766252739226,0.5,0.5,0.375,0.625,Have certificate,0.4952380952380952
Thừa Thiên Huế,0.2008765522279036,0.125,0.3333333333333333,0.375,0.375,Have certificate,0.5238095238095238
Tuyên Quang,0.3060628195763331,0.4499999999999999,0.3333333333333333,0.375,0.375,Have certificate,0.1571428571428571
Hà Giang,0.2695398100803506,0.5,0.5,0.625,0.375,Have certificate,0.438095238095238
Vĩnh Long,0.1548575602629656,0.0,0.3333333333333333,0.375,0.375,Have certificate,0.5904761904761905
Hải Phòng,0.4521548575602629,0.5,0.3333333333333333,0.625,0.625,Have certificate,0.8571428571428571
Bình Thuận,0.5909422936449963,0.4499999999999999,0.1666666666666666,0.375,0.125,Have certificate,0.1380952380952381
Bình Dương,0.9634769905040176,1.0,0.3333333333333333,0.375,0.375,Have certificate,0.6238095238095237
